Pick,Hand-Stem,Hand-Gravity,Stem-Gravity,Result,Size
1,93.96318855,73.9489059,163.8452294,Failure,1
2,15.74213087,152.6808574,163.8452294,Failure,1
3,93.85855692,74.04932118,163.8452294,Failure,1
4,58.23426394,110.1321322,163.8452294,Failure,1
5,6.608525798,169.0362591,163.8452294,Failure,1
7,83.6589651,82.05895107,157.5801396,Failure,1
8,17.13053032,173.9423792,157.5801396,Failure,1
9,12.63168756,156.800271,157.5801396,Failure,1
11,17.9736827,118.4498347,136.4233208,Failure,1
12,20.5714797,113.1283466,130.1036977,Failure,1
13,20.89699341,168.5739803,155.5401233,Failure,1
14,20.79305336,170.9433521,155.5401233,Failure,1
15,20.58770859,176.1263881,155.5401233,Failure,1
17,7.405802517,175.164621,171.8216546,Failure,1
18,7.865761584,176.2334385,171.8216546,Failure,1
19,42.72768756,137.0837827,171.8216546,Failure,1
20,24.88578034,153.4136028,171.8216546,Failure,1
21,19.19101655,174.0201118,166.1322177,Failure,1
22,18.9504554,173.4592563,166.1322177,Failure,1
23,18.87009984,172.593984,166.1322177,Failure,1
24,37.76632046,153.503848,166.1322177,Failure,1
25,61.48487596,128.4388681,157.8270037,Failure,1
26,37.18812167,157.5566328,157.8270037,Failure,1
27,35.02984074,160.9627122,157.8270037,Failure,1
28,41.06706785,146.0310979,157.8270037,Failure,1
29,39.42298953,148.6272539,157.8270037,Failure,1
32,17.04782396,174.4666537,166.1322177,Failure,1
33,16.08416764,177.0920897,166.1322177,Failure,1
34,92.95365518,92.47653759,160.6353538,Failure,1
35,28.21030994,148.3494489,160.6353538,Failure,1
36,47.60203707,170.9002193,125.2384698,Failure,1
37,53.22154351,173.1668507,125.2384698,Failure,1
39,6.360402418,125.4205082,123.5321695,Failure,1
40,5.813741281,126.3811412,123.5321695,Failure,1
41,10.83240255,129.8989814,123.5321695,Failure,1
44,28.06048049,143.7278161,171.1553996,Failure,1
45,25.58701797,146.4479006,171.1553996,Failure,1
46,10.9079645,169.1191379,176.2306812,Failure,1
47,12.86571074,167.9811874,176.2306812,Failure,1
49,71.51803819,95.82582019,165.6145018,Failure,1
54,33.15141152,129.1531906,129.8091803,Failure,1
55,30.87224737,122.1138275,129.8091803,Failure,1
56,53.07976465,173.0219954,129.8091803,Failure,1
57,27.73350665,147.6494437,173.1686961,Failure,1
58,28.19119575,148.7923452,173.1686961,Failure,1
59,20.49192643,153.3406838,173.1686961,Failure,1
62,31.4143747,151.6509917,176.8699099,Failure,1
65,92.09506968,93.99355322,140.1880294,Failure,1
66,104.7903028,104.6844501,117.0085063,Failure,1
68,14.77389661,173.3104884,159.6723498,Failure,1
69,21.12878866,167.7286023,159.6723498,Failure,1
75,25.72000517,153.2468799,171.5057954,Failure,1
76,73.46275598,117.6047273,161.5995518,Failure,1
,,,,,
,,,,,
,,,,,
,,,,,
